Youtuber	Title	rank	subscribers	video views	category	uploads	Country	Abbreviation	channel_type	video_views_rank	country_rank	channel_type_rank	view last 30 days	lowest_monthly_earnings	highest_monthly_earnings	lowest_yearly_earnings	highest_yearly_earnings	subscribers for last 30 days	created_year	Urban_population	Population
string	string	continuous	continuous	continuous	Autos\ &\ Vehicles Comedy Education Entertainment Film\ &\ Animation Gaming Howto\ &\ Style Movies Music News\ &\ Politics Nonprofits\ &\ Activism People\ &\ Blogs Pets\ &\ Animals Science\ &\ Technology Shows Sports Trailers Travel\ &\ Events	continuous	Afghanistan Andorra Argentina Australia Bangladesh Barbados Brazil Canada Chile China Colombia Cuba Ecuador Egypt El\ Salvador Finland France Germany India Indonesia Iraq Italy Japan Jordan Kuwait Latvia Malaysia Mexico Morocco Netherlands Pakistan Peru Philippines Russia Samoa Saudi\ Arabia Singapore South\ Korea Spain Sweden Switzerland Thailand Turkey Ukraine United\ Arab\ Emirates United\ Kingdom United\ States Venezuela Vietnam	AD AE AF AR AU BB BD BR CA CH CL CN CO CU DE EC EG ES FI FR GB ID IN IQ IT JO JP KR KW LV MA MX MY NL PE PH PK RU SA SE SG SV TH TR UA US VE VN WS	Animals Autos Comedy Education Entertainment Film Games Howto Music News Nonprofit People Sports Tech	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous
Jake Fellman	Jake Fellman	472	18100000	1.33784e+10	Entertainment	420	United States	US	Entertainment	274	122	118	4.97044e+08	124300.00	2000000.00	1500000.00	23900000.00	700000	2012	270663028	328239523
SQUEEZIE	SQUEEZIE	474	18100000	9.98307e+09	Gaming	1521	France	FR	Entertainment	443	1	119	4.8099e+07	12000.00	192400.00	144300.00	2300000.00	100000	2011	54123364	67059887
Blippi - Educational Videos for Kids	Blippi - Educational Videos for Kids	475	18100000	1.48573e+10	Education	707	United States	US	Education	224	123	26	1.80412e+08	45100.00	721600.00	541200.00	8700000.00	300000	2014	270663028	328239523
Manual do Mundo	Manual do Mundo	478	18000000	3.98099e+09	Howto & Style	2470	Brazil	BR	Tech	1922	26	8	5.4766e+07	13700.00	219100.00	164300.00	2600000.00	100000	2006	183241641	212559417
How Ridiculous	How Ridiculous	479	18000000	9.60114e+09	Sports	650	Australia	AU	Sports	478	5	6	3.91298e+08	97800.00	1600000.00	1200000.00	18800000.00	600000	2009	21844756	25766605
SonyMusicSouthVEVO	SonyMusicSouthVEVO	482	18000000	1.79211e+10	Music	5692	United States	US	Music	148	123	104	2.57597e+08	64400.00	1000000.00	772800.00	12400000.00	100000	2014	270663028	328239523
David Dobrik	David Dobrik	485	17900000	7.17657e+09	People & Blogs	536	United States	US	People	801	125	28	8.65e+06	2200.00	34600.00	26000.00	415200.00	100000	2014	270663028	328239523
KatieAngel	KatieAngel	486	17900000	3.84121e+09	People & Blogs	982	United States	US	Music	2014	125	106	5.1687e+07	12900.00	206700.00	155100.00	2500000.00	100000	2015	270663028	328239523
RobleisIUTU	RobleisIUTU	487	17900000	5.16872e+09	Entertainment	1344	Argentina	AR	Games	1294	9	35	2.7545e+07	6900.00	110200.00	82600.00	1300000.00	100000	2013	41339571	44938712
Like Nastya VNM	Like Nastya VNM	490	17900000	9.86752e+09	Entertainment	602	Vietnam	VN	Entertainment	455	1	121	8.4467e+07	21100.00	337900.00	253400.00	4100000.00	100000	2019	35332140	96462106
Jason Derulo	Jason Derulo	491	17900000	9.88712e+09	Music	830	United States	US	Music	446	124	105	4.47891e+08	112000.00	1800000.00	1300000.00	21500000.00	400000	2008	270663028	328239523
MGC Playhouse	MGC Playhouse	492	17900000	1.61745e+10	Shows	1426	United States	US	Education	187	125	27	1.02621e+08	25700.00	410500.00	307900.00	4900000.00	100000	2009	270663028	328239523
Priyal Kukreja	Priyal Kukreja	494	17800000	1.10579e+10	People & Blogs	772	India	IN	People	378	83	29	4.3139e+08	107800.00	1700000.00	1300000.00	20700000.00	900000	2021	471031528	1366417754
MSA previously My Story Animated	MSA Previously My Story Animated	495	17800000	8.5887e+09	Film & Animation	26	United States	US	People	3976090	5208	4978	20708	5.00	83.00	62.00	994.00	2960	2021	270663028	328239523
jaanvi patel	jaanvi patel	499	17700000	7.91273e+09	People & Blogs	512	India	IN	People	671	84	30	3.46753e+08	86700.00	1400000.00	1000000.00	16600000.00	900000	2018	471031528	1366417754
tanboy kun	tanboy kun	500	17700000	3.64727e+09	People & Blogs	739	Indonesia	ID	Entertainment	2169	17	122	4.8174e+07	12000.00	192700.00	144500.00	2300000.00	100000	2016	151509724	270203917
News 24	24 ï¿½ï¿½ï¿½ï	503	17700000	8.39688e+09	News & Politics	211620	Ukraine	UA	News	880	24	112	3.70779e+08	92700.00	1500000.00	1100000.00	17800000.00	230000	2006	30835699	44385155
Les' Copaque Production	Les' Copaque Production	504	17700000	9.0597e+09	Film & Animation	1716	Malaysia	MY	Entertainment	531	1	123	1.17727e+08	29400.00	470900.00	353200.00	5700000.00	200000	2009	24475766	32447385
El Payaso Plim Plim	El Payaso Plim Plim	505	17700000	1.72476e+10	Film & Animation	1316	Argentina	AR	Music	162	10	107	6.4003e+08	160000.00	2600000.00	1900000.00	30700000.00	600000	2013	41339571	44938712
MissaSinfonia	MissaSinfonia	507	17600000	2.27401e+09	Comedy	233	Mexico	MX	Comedy	4139	17	25	2.7445e+07	6900.00	109800.00	82300.00	1300000.00	100000	2011	102626859	126014024
ýýýýýýýýý Liziqi	ýýýýýýýýý Liziqi	508	17600000	2.97774e+09	Howto & Style	128	China	CN	Howto	2917	1	16	2.2354e+07	5600.00	89400.00	67100.00	1100000.00	100000	2017	842933962	1397715000
DeGoBooM	DeGoBooM	510	17600000	6.3062e+09	Gaming	4702	Chile	CL	Games	973	3	36	1.00215e+08	25100.00	400900.00	300600.00	4800000.00	500000	2014	16610135	18952038
News18 India	News18 India	513	17500000	7.26362e+09	News & Politics	182742	India	IN	News	770	85	10	3.94106e+08	98500.00	1600000.00	1200000.00	18900000.00	700000	2007	471031528	1366417754
Fun For Kids TV - Hindi Rhymes	Fun For Kids TV - Hindi Rhymes	514	17500000	7.61239e+09	Entertainment	149	India	IN	Entertainment	723	86	124	1.09847e+08	27500.00	439400.00	329500.00	5300000.00	300000	2017	471031528	1366417754
Aphmau	Aphmau	516	17400000	1.77636e+10	Gaming	4411	United States	US	Games	152	129	37	4.3987e+08	110000.00	1800000.00	1300000.00	21100000.00	400000	2012	270663028	328239523
AMARINTV : ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½	AMARINTV : ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½	517	17400000	1.30436e+10	Entertainment	118448	Thailand	TH	News	286	8	11	2.35993e+08	59000.00	944000.00	708000.00	11300000.00	200000	2014	35294600	69625582
Apple	Apple	520	17300000	1.02643e+09	Science & Technology	180	United States	US	Tech	11274	130	9	4.6484e+07	11600.00	185900.00	139500.00	2200000.00	100000	2005	270663028	328239523
Taarak Mehta Ka Ooltah Chashmah	Taarak Mehta Ka Ooltah Chashmah	522	17300000	1.13717e+10	Entertainment	4778	India	IN	Entertainment	356	87	125	3.31944e+08	83000.00	1300000.00	995800.00	15900000.00	300000	2014	471031528	1366417754
Marques Brownlee	Marques Brownlee	525	17200000	3.60691e+09	Science & Technology	1567	United States	US	Tech	2196	131	10	5.2325e+07	13100.00	209300.00	157000.00	2500000.00	100000	2008	270663028	328239523
El Reino a Jugar	El Reino a Jugar	528	17200000	1.14455e+10	Education	1007	Argentina	AR	Education	353	11	28	8.3709e+07	20900.00	334800.00	251100.00	4000000.00	100000	2015	41339571	44938712
TheBrianMaps	TheBrianMaps	530	17100000	4.44833e+09	Comedy	498	Russia	RU	Entertainment	1624	6	126	3.7164e+07	9300.00	148700.00	111500.00	1800000.00	100000	2012	107683889	144373535
TRANS TV Official	TRANS TV Official	531	17100000	9.71096e+09	Entertainment	148225	Indonesia	ID	Entertainment	472	18	127	4.5811e+07	11500.00	183200.00	137400.00	2200000.00	100000	2014	151509724	270203917
Queen Official	Queen Official	533	17000000	1.08479e+10	Music	1015	United Kingdom	GB	Music	385	21	112	9.3768e+07	23400.00	375100.00	281300.00	4500000.00	100000	2008	55908316	66834405
Prajapati News	Prajapati News	534	17000000	1.00147e+09	Comedy	1407	India	IN	Entertainment	11662	89	128	7.626e+06	1900.00	30500.00	22900.00	366100.00	100000	2013	471031528	1366417754
Pop Chartbusters	Pop Chartbusters	537	16900000	8.68401e+09	Music	2235	India	IN	Music	574	90	113	7.2911e+07	18200.00	291600.00	218700.00	3500000.00	200000	2011	471031528	1366417754
VICE	VICE	540	16900000	4.60975e+09	Entertainment	3900	United States	US	Entertainment	1543	134	129	3.6357e+07	9100.00	145400.00	109100.00	1700000.00	100000	2005	270663028	328239523
Danny Fitt	Danny Fitt	542	16900000	9.54428e+09	People & Blogs	2337	United States	US	Entertainment	488	134	129	2.75264e+08	68800.00	1100000.00	825800.00	13200000.00	700000	2016	270663028	328239523
Bispo Bruno Leonardo	Bispo Bruno Leonardo	543	16900000	3.52358e+09	Nonprofits & Activism	4891	Brazil	BR	Nonprofit	2307	29	2	1.49543e+08	37400.00	598200.00	448600.00	7200000.00	400000	2016	183241641	212559417
Like Nastya IDN	Like Nastya IDN	547	16800000	7.19531e+09	Entertainment	502	Indonesia	ID	Entertainment	795	19	130	4.2836e+07	10700.00	171300.00	128500.00	2100000.00	100000	2019	151509724	270203917
Gato Galactico | GALï¿½ï¿	Gato Galactico | GALï¿½ï¿	548	16800000	3.6938e+09	Film & Animation	1491	Brazil	BR	Entertainment	2129	30	130	4.4121e+07	11000.00	176500.00	132400.00	2100000.00	100000	2013	183241641	212559417
CoryxKenshin	CoryxKenshin	550	16700000	7.10297e+09	Gaming	1693	United States	US	Games	814	135	39	1.05114e+08	26300.00	420500.00	315300.00	5000000.00	200000	2009	270663028	328239523
With Kids[ï¿½ï¿½ï¿½ï¿½ï	With Kids[ï¿½ï¿½ï¿½ï¿½ï	551	16700000	8.82614e+09	Entertainment	920	United States	US	Entertainment	559	135	130	4.5698e+07	11400.00	182800.00	137100.00	2200000.00	100000	2012	270663028	328239523
NMF News	NMF News	557	16600000	7.43518e+09	News & Politics	112261	India	IN	News	749	91	12	5.9201e+07	14800.00	236800.00	177600.00	2800000.00	100000	2013	471031528	1366417754
SriBalajiMovies	SriBalajiMovies	558	16600000	9.43986e+09	Entertainment	20102	India	IN	Entertainment	497	91	132	1.54049e+08	38500.00	616200.00	462100.00	7400000.00	200000	2011	471031528	1366417754
Lahari Music - TSeries	Lahari Music - TSeries	559	16600000	1.19462e+10	Music	8976	India	IN	Music	326	91	115	8.9012e+07	22300.00	356000.00	267000.00	4300000.00	100000	2011	471031528	1366417754
Younes Zarou	Younes Zarou	560	16600000	1.52787e+10	Entertainment	2200	Germany	DE	Entertainment	213	4	131	6.17257e+08	154300.00	2500000.00	1900000.00	29600000.00	900000	2021	64324835	83132799
Jordan Matter	Jordan Matter	561	16600000	5.81951e+09	Entertainment	413	United States	US	Entertainment	1088	136	132	1.99033e+08	49800.00	796100.00	597100.00	9600000.00	300000	2006	270663028	328239523
ýýýýýýýý ýýýýýýýýýýýýýýýýýýýýýý	ýýýýýýýý ýýýýýýýýýýýýýýýýýýýýýý	562	16500000	2.44093e+09	Entertainment	421	United States	US	Entertainment	3778	137	133	2.1953e+07	5500.00	87800.00	65900.00	1100000.00	200000	2014	270663028	328239523
FailArmy	FailArmy	563	16500000	3.03726e+09	Comedy	438	United States	US	Entertainment	2766	137	133	1.12986e+08	28200.00	451900.00	339000.00	5400000.00	100000	2011	270663028	328239523
BBC News Hindi	BBC News Hindi	564	16500000	7.04324e+09	News & Politics	21243	India	IN	News	821	92	13	1.31202e+08	32800.00	524800.00	393600.00	6300000.00	300000	2009	471031528	1366417754
UFC - Ultimate Fighting Championship	UFC - Ultimate Fighting Championship	568	16400000	7.13582e+09	Sports	14662	United States	US	Sports	806	138	7	1.33208e+08	33300.00	532800.00	399600.00	6400000.00	100000	2006	270663028	328239523
Ch7HD	Ch7HD	569	16400000	9.46324e+09	Entertainment	56203	Thailand	TH	Entertainment	496	9	134	8.7757e+07	21900.00	351000.00	263300.00	4200000.00	100000	2010	35294600	69625582
GMMTV OFFICIALï¿½ï¿½	GMMTV OFFICIALï¿½ï¿½	572	16400000	1.28444e+10	Entertainment	23952	Thailand	TH	Entertainment	294	9	134	1.81382e+08	45300.00	725500.00	544100.00	8700000.00	200000	2010	35294600	69625582
Camila Cabello	Camila Cabello	575	16300000	6.61342e+09	Music	80	United States	US	Music	906	139	117	4.2704e+07	10700.00	170800.00	128100.00	2000000.00	100000	2015	270663028	328239523
Bollywood Classics	Bollywood Classics	579	16300000	7.14183e+09	Entertainment	1444	India	IN	Music	804	93	116	1.51477e+08	37900.00	605900.00	454400.00	7300000.00	300000	2011	471031528	1366417754
Technoblade	Technoblade	580	16300000	1.65645e+09	Gaming	989	United States	US	Games	6274	138	40	1.7944e+07	4500.00	71800.00	53800.00	861300.00	200000	2013	270663028	328239523
T3ddy	T3ddy	584	16200000	2.99019e+09	Comedy	1930	Brazil	BR	People	2898	31	38	3.3015e+07	8300.00	132100.00	99000.00	1600000.00	100000	2012	183241641	212559417
JJ Olatunji	JJ Olatunji	585	16200000	4.07669e+09	Gaming	1294	United Kingdom	GB	Entertainment	1856	23	136	2.7808e+07	7000.00	111200.00	83400.00	1300000.00	100000	2011	55908316	66834405
POPS Kids	POPS Kids	586	16200000	9.76359e+09	Music	3943	Vietnam	VN	Film	462	2	30	2.56733e+08	64200.00	1000000.00	770200.00	12300000.00	200000	2014	35332140	96462106
Thairath Online	Thairath Online	587	16200000	1.45638e+10	News & Politics	244899	Thailand	TH	News	238	10	14	2.24756e+08	56200.00	899000.00	674300.00	10800000.00	100000	2010	35294600	69625582
LEGO	LEGO	588	16200000	2.05223e+10	Entertainment	31889	Singapore	SG	Entertainment	116	1	136	1.17209e+08	29300.00	468800.00	351600.00	5600000.00	200000	2005	5703569	5703569
XO TEAM	XO TEAM Family	589	16200000	1.47848e+10	People & Blogs	189	United States	US	People	153622	1776	1495	37911	9.00	152.00	114.00	1800.00	1000	2020	270663028	328239523
Daily Dose Of Internet	Daily Dose Of Internet	597	16100000	6.8727e+09	Entertainment	671	United States	US	Entertainment	851	140	136	3.99807e+08	100000.00	1600000.00	1200000.00	19200000.00	300000	2015	270663028	328239523
FitDance	Fitdance Academy	598	16100000	7.12621e+09	Music	41	France	FR	Entertainment	4006012	3726	6335	780	0.20	3.00	2.00	37.00	4	2006	54123364	67059887
Disney Junior	Disney Junior	600	16100000	1.5812e+10	Entertainment	4045	United States	US	Entertainment	196	140	136	2.67131e+08	66800.00	1100000.00	801400.00	12800000.00	300000	2008	270663028	328239523
Totoy kids - Espaï¿½ï	Totoy kids - Espaï¿½ï	606	16000000	5.9976e+09	Film & Animation	344	Mexico	MX	Film	1048	23	31	1.12393e+08	28100.00	449600.00	337200.00	5400000.00	200000	2017	102626859	126014024
Lyna	Lyna	610	15900000	6.53433e+09	Gaming	4906	Argentina	AR	Games	919	12	43	6.4085e+07	16000.00	256300.00	192300.00	3100000.00	200000	2014	41339571	44938712
MK MUSIC	MK MUSIC	611	15900000	9.19899e+09	Music	5105	Brazil	BR	Music	516	33	120	1.36388e+08	34100.00	545600.00	409200.00	6500000.00	100000	2010	183241641	212559417
Unspeakable	Unspeakable	612	15900000	9.05237e+09	Gaming	796	United States	US	People	530	142	40	1.64895e+08	41200.00	659600.00	494700.00	7900000.00	200000	2016	270663028	328239523
Camilo	Camilo	613	15900000	6.80238e+09	Music	132	Colombia	CO	Music	871	8	120	5.989e+07	15000.00	239600.00	179700.00	2900000.00	100000	2010	40827302	50339443
Dear Sir	Dear Sir	614	15800000	1.34929e+09	Education	633	India	IN	Education	8066	95	31	2.4056e+07	6000.00	96200.00	72200.00	1200000.00	200000	2016	471031528	1366417754
Narendra Modi	Narendra Modi	615	15800000	3.39292e+09	News & Politics	20679	India	IN	News	2406	96	15	1.85969e+08	46500.00	743900.00	557900.00	8900000.00	700000	2007	471031528	1366417754
Arif muhammad	Arif muhammad	616	15800000	4.12263e+09	People & Blogs	542	Indonesia	ID	Comedy	1816	22	26	7.187e+07	18000.00	287500.00	215600.00	3400000.00	100000	2017	151509724	270203917
Rotten Tomatoes Trailers	Rotten Tomatoes Trailers	617	15800000	1.31163e+10	Film & Animation	10441	United States	US	Film	285	143	32	2.5738e+07	6400.00	103000.00	77200.00	1200000.00	100000	2011	270663028	328239523
DM - Desi Melodies	DM - Desi Melodies	619	15700000	5.91407e+09	Music	79	India	IN	Music	1071	97	121	1.41842e+08	35500.00	567400.00	425500.00	6800000.00	300000	2017	471031528	1366417754
Zee Music Classic	Zee Music Classic	622	15700000	5.55805e+09	Music	1640	India	IN	Music	1174	97	121	8.645e+07	21600.00	345800.00	259300.00	4100000.00	100000	2014	471031528	1366417754
Prime Video India	Prime Video India	623	15700000	8.69663e+09	Entertainment	7090	United States	US	Entertainment	569	144	139	3.35111e+08	83800.00	1300000.00	1000000.00	16100000.00	1.2e+06	2016	270663028	328239523
Linus Tech Tips	Linus Tech Tips	626	15600000	7.17239e+09	Science & Technology	6542	Canada	CA	Tech	802	7	11	8.8224e+07	22100.00	352900.00	264700.00	4200000.00	100000	2008	30628482	36991981
Juliana Baltar	Juliana Baltar	627	15600000	3.86946e+09	Entertainment	2019	Brazil	BR	Entertainment	2002	34	140	5.6218e+07	14100.00	224900.00	168700.00	2700000.00	100000	2010	183241641	212559417
Blippi Espaï¿½ï	Blippi Espaï¿½ï	629	15500000	8.98409e+09	People & Blogs	598	Mexico	MX	Education	538	24	32	9.0012e+07	22500.00	360000.00	270000.00	4300000.00	100000	2017	102626859	126014024
Katakit Baby TV	Katakit Baby TV	631	15500000	6.38627e+09	Music	220	Saudi Arabia	SA	Music	954	4	122	9.0914e+07	22700.00	363700.00	272700.00	4400000.00	200000	2010	28807838	34268528
Infobells Bangla	Infobells Bangla	632	15500000	7.77671e+09	Education	359	India	IN	Education	687	98	32	1.67888e+08	42000.00	671600.00	503700.00	8100000.00	300000	2016	471031528	1366417754
ýýýýýýýý ýý ýýýýýýýý	ýýýýýýýý ýý ýýýýýýýý	633	15500000	8.26513e+09	Shows	1021	Saudi Arabia	SA	Film	619	4	33	1.35036e+08	33800.00	540100.00	405100.00	6500000.00	300000	2017	28807838	34268528
Kashvi Adlakha	Kashvi Adlakha	636	15500000	1.27141e+10	Entertainment	1525	India	IN	Entertainment	300	99	141	1.39123e+08	34800.00	556500.00	417400.00	6700000.00	200000	2017	471031528	1366417754
ýýýýýýýý ýýýýýýýýýýýýýý ýýýý 5 ýýýýýýýýýý	ýýýýýýýý ýýýýýýýýýýýýýý ýýýý 5 ýýýýýýýýýý	638	15500000	4.49983e+09	Howto & Style	5183	Egypt	EG	Howto	1597	1	22	3.2916e+07	8200.00	131700.00	98700.00	1600000.00	100000	2017	42895824	100388073
Harsh Beniwal	Harsh Beniwal	639	15400000	1.78123e+09	Comedy	165	India	IN	Comedy	5724	100	27	2.7963e+07	7000.00	111900.00	83900.00	1300000.00	100000	2015	471031528	1366417754
FFUNTV	FFUNTV	640	15400000	1.15137e+10	Gaming	379	United Arab Emirates	AE	Entertainment	349	6	141	8.0172e+07	20000.00	320700.00	240500.00	3800000.00	200000	2018	8479744	9770529
Mobile Legends: Bang Bang	Mobile Legends: Bang Bang	641	15400000	1.54361e+09	Gaming	1647	United States	US	Games	6793	147	45	5.5369e+07	13800.00	221500.00	166100.00	2700000.00	100000	2016	270663028	328239523
Mrwhosetheboss	Mrwhosetheboss	643	15400000	3.73607e+09	Science & Technology	1577	United Kingdom	GB	Tech	2083	24	12	1.67697e+08	41900.00	670800.00	503100.00	8000000.00	400000	2011	55908316	66834405
Genierock	Genierock	644	15400000	1.45642e+10	Music	1725	Thailand	TH	Music	239	11	124	8.2798e+07	20700.00	331200.00	248400.00	4000000.00	100000	2008	35294600	69625582
zayn	zayn	645	15400000	4.90969e+09	Music	21	United States	US	Music	1401	147	124	3.679e+07	9200.00	147200.00	110400.00	1800000.00	100000	2016	270663028	328239523
FC Barcelona	FC Barcelona	647	15300000	2.65653e+09	Sports	10988	Spain	ES	Sports	3356	11	9	8.4867e+07	21200.00	339500.00	254600.00	4100000.00	200000	2006	37927409	47076781
ILYA BORZOV	ILYA BORZOV	650	15300000	9.93881e+09	People & Blogs	2175	Russia	RU	People	441	8	42	4.75565e+08	118900.00	1900000.00	1400000.00	22800000.00	800000	2021	107683889	144373535
Mazhavil Manorama	Mazhavil Manorama	651	15300000	1.6546e+10	Entertainment	87864	India	IN	Entertainment	175	100	142	3.61483e+08	90400.00	1400000.00	1100000.00	17400000.00	300000	2011	471031528	1366417754
Pokï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½	Pokï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½	652	15200000	8.57726e+08	People & Blogs	194	India	IN	Film	13929	100	35	6.538e+07	16300.00	261500.00	196100.00	3100000.00	1.3e+06	2017	471031528	1366417754
The MriDul	The MriDul	653	15200000	4.50388e+09	Comedy	106	India	IN	Comedy	1593	102	28	9.8329e+07	24600.00	393300.00	295000.00	4700000.00	200000	2015	471031528	1366417754
SRK MUSIC	SRK MUSIC	655	15200000	6.39168e+09	Music	5056	India	IN	Music	955	102	126	5.7809e+07	14500.00	231200.00	173400.00	2800000.00	200000	2012	471031528	1366417754
Sony LIV	Sony LIV	656	15200000	7.15168e+09	Entertainment	11099	India	IN	Entertainment	794	102	144	2.10909e+08	52700.00	843600.00	632700.00	10100000.00	300000	2014	471031528	1366417754
T-Series Hamaar Bhojpuri	T-Series Hamaar Bhojpuri	657	15200000	7.56465e+09	Entertainment	9862	India	IN	Music	728	101	125	1.05978e+08	26500.00	423900.00	317900.00	5100000.00	200000	2011	471031528	1366417754
CNN	CNN	659	15200000	1.41982e+10	News & Politics	160405	United States	US	News	247	148	16	1.87006e+08	46800.00	748000.00	561000.00	9000000.00	100000	2005	270663028	328239523
NDTV India	NDTV India	660	15200000	6.62417e+09	News & Politics	91704	India	IN	News	900	101	16	4.9662e+07	12400.00	198600.00	149000.00	2400000.00	100000	2008	471031528	1366417754
Daftar Populer	Daftar Populer	663	15100000	2.14314e+09	Education	3810	Indonesia	ID	Entertainment	4520	24	144	1.7231e+07	4300.00	68900.00	51700.00	827100.00	100000	2017	151509724	270203917
PowerfulJRE	PowerfulJRE	666	15100000	3.0602e+09	People & Blogs	1037	United States	US	People	2796	149	43	4.3409e+07	10900.00	173600.00	130200.00	2100000.00	200000	2013	270663028	328239523
Mohamed Ramadan I ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï	Mohamed Ramadan I ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï	670	15100000	5.32491e+09	People & Blogs	753	Egypt	EG	Entertainment	1242	2	145	4.606e+07	11500.00	184200.00	138200.00	2200000.00	100000	2014	42895824	100388073
EdisonPts	EdisonPts	671	15100000	6.66851e+09	Gaming	3733	Russia	RU	Games	894	10	47	9.5603e+07	23900.00	382400.00	286800.00	4600000.00	100000	2013	107683889	144373535
Rubï¿½ï¿½ï¿½ï¿½ï¿½ï¿½	Rubï¿½ï¿½ï¿½ï¿½ï¿½ï¿½	673	15100000	9.47702e+09	Comedy	921	Argentina	AR	Comedy	491	13	28	5.12343e+08	128100.00	2000000.00	1500000.00	24600000.00	700000	2016	41339571	44938712
ABS-CBN News	ABS-CBN News	674	15100000	1.04894e+10	News & Politics	209520	Philippines	PH	News	404	7	17	1.81644e+08	45400.00	726600.00	544900.00	8700000.00	100000	2009	50975903	108116615
Chapitosiki	Chapitosiki	675	15100000	1.38979e+10	Entertainment	2717	Russia	RU	Entertainment	256	9	143	7.13509e+08	178400.00	2900000.00	2100000.00	34200000.00	700000	2020	107683889	144373535
AdeleVEVO	AdeleVEVO	676	15100000	1.24139e+10	Music	52	United Kingdom	GB	Music	309	25	127	8.475e+07	21200.00	339000.00	254300.00	4100000.00	100000	2009	55908316	66834405
MoreAliA	MoreAliA	677	15000000	4.35243e+09	Gaming	2324	United Kingdom	GB	Games	1663	25	47	2.50995e+08	62700.00	1000000.00	753000.00	12000000.00	600000	2013	55908316	66834405
Chetan Monga Vlogs	Chetan Monga Vlogs	678	15000000	9.9241e+09	People & Blogs	899	India	IN	People	457	104	45	1.13572e+08	28400.00	454300.00	340700.00	5500000.00	400000	2014	471031528	1366417754
XpressTV	XpressTV	682	15000000	4.0088e+09	Entertainment	724	Mexico	MX	Entertainment	1907	26	146	3.388e+07	8500.00	135500.00	101600.00	1600000.00	100000	2014	102626859	126014024
PlayStation	PlayStation	683	15000000	4.74143e+09	Gaming	20292	United States	US	Games	1469	151	48	4.1789e+07	10400.00	167200.00	125400.00	2000000.00	100000	2005	270663028	328239523
Kwebbelkop	Kwebbelkop	684	15000000	6.8893e+09	Gaming	5198	United States	US	Film	857	151	37	2.9724e+07	7400.00	118900.00	89200.00	1400000.00	100000	2008	270663028	328239523
THE BROWN SIBLINGS	THE BROWN SIBLINGS	686	15000000	8.65855e+09	Entertainment	965	India	IN	Entertainment	577	103	145	1.02357e+08	25600.00	409400.00	307100.00	4900000.00	200000	2016	471031528	1366417754
Sony Music South	Sony Music South	687	15000000	9.97873e+09	Music	2726	India	IN	Music	439	103	127	2.42185e+08	60500.00	968700.00	726600.00	11600000.00	300000	2014	471031528	1366417754
Ray William Johnson	Ray William Johnson	689	15000000	1.02398e+10	Entertainment	1803	United States	US	Comedy	423	151	29	3.12858e+08	78200.00	1300000.00	938600.00	15000000.00	200000	2008	270663028	328239523
KOMPASTV	KOMPASTV	690	15000000	1.18273e+10	News & Politics	269050	Indonesia	ID	News	331	25	17	1.13064e+08	28300.00	452300.00	339200.00	5400000.00	100000	2013	151509724	270203917
ISSEI / ï¿½ï¿½ï¿½ï¿½	ISSEI / ï¿½ï¿½ï¿½ï¿½	691	15000000	1.35629e+10	Comedy	1788	Japan	JP	Comedy	277	5	29	2.82372e+08	70600.00	1100000.00	847100.00	13600000.00	900000	2014	115782416	126226568
A2 Motivation by Arvind Arora	A2 Motivation by Arvind Arora	693	15000000	8.93204e+09	Entertainment	3168	India	IN	Entertainment	544	104	146	1.30731e+08	32700.00	522900.00	392200.00	6300000.00	200000	2017	471031528	1366417754
50 Cent	50 Cent	694	14900000	1.0069e+10	Music	419	United States	US	Music	435	152	129	1.19812e+08	30000.00	479200.00	359400.00	5800000.00	100000	2007	270663028	328239523
MNCTV OFFICIAL	MNCTV OFFICIAL	695	14900000	8.07426e+09	Entertainment	66362	Indonesia	ID	Entertainment	639	26	146	4.3581e+07	10900.00	174300.00	130700.00	2100000.00	100000	2012	151509724	270203917
melanie martinez	melanie martinez	697	14900000	4.39518e+09	Music	127	United States	US	Music	1656	152	129	5.6358e+07	14100.00	225400.00	169100.00	2700000.00	100000	2007	270663028	328239523
iTownGamePlay *Terror&Diversiï¿½ï	iTownGamePlay *Terror&Diversiï¿½ï	698	14900000	4.97728e+09	Entertainment	8420	Spain	ES	Games	1377	13	49	1.3857e+07	3500.00	55400.00	41600.00	665200.00	100000	2012	37927409	47076781
ýýýýýýýýýýýý8 : Thai Ch8	ýýýýýýýýýýýý8 : Thai Ch8	699	14900000	5.54977e+09	Entertainment	27944	Thailand	TH	Entertainment	1181	12	147	4.9556e+07	12400.00	198200.00	148700.00	2400000.00	100000	2011	35294600	69625582
TazerCraft	TazerCraft	702	14900000	5.95619e+09	Gaming	4175	Brazil	BR	Games	1066	37	49	3.9775e+07	9900.00	159100.00	119300.00	1900000.00	100000	2011	183241641	212559417
